sample_id	input	filtered	merged	nonchimeric
120146	617054	279776	264509	210688
120148	325316	150929	144178	126616
120154	152567	53152	50796	48863
120155	184391	47496	46155	32999
120156	292182	109288	99638	90424
120157	74407	20670	16804	15947
120158	374983	140069	124688	102362
120159	296207	104737	91993	78684
120160	333718	126928	114313	92190
120161	304498	122213	111352	96439
120162	69532	30038	20913	18266
120163	103021	44782	39684	30182
120164	38673	17538	15968	15968
120165	36665	13216	11278	11278
120166	271423	121335	115338	66793
120167	31325	13016	12436	7163
120168	129996	59633	50985	23802
120169	167937	74112	69802	64505
120170	205260	73205	63821	54991
120171	227841	107758	91545	72300
120172	156412	75864	72143	42749
120173	77310	25071	20758	18652
120179	283598	111062	96951	73549
120180	233693	44160	34297	31386
120181	343146	142485	130667	107605
120182	224486	66214	58987	50451
120183	381981	143775	135608	120124
120184	284240	99505	85491	58224
120185	377354	134142	124580	90171
120186	332233	134036	127108	85412
120187	249777	103013	97471	83820
120188	369498	141808	128782	114687
120189	333007	109730	95218	73113
120190	187011	55861	50974	35978
120191	514436	218424	196048	130671
120192	521254	211914	187963	145698
120193	385849	160651	143309	105552
120194	400070	170512	144854	112772
120026	104526	31821	30860	29225
120039	58761	23253	23154	23154
120041	121401	62007	59575	49831
